timestamp,date,time,day_of_week,hour_of_day,weight_g,material,print_hours,material_cost,variable_cost,total_cost,sell_price,margin_pct,profit_amount,multicolor,abrasive,rush,printer_power_kw,energy_price,labour_cost,monitoring_pct,maintenance_cost,overhead_year,annual_hours,markup_material,markup_variable,spoed_surcharge,abrasive_surcharge,color_fee_min,color_fee_max,auto_time_per_gram,auto_hours_used
2025-05-02 10:27:20,2025-05-02,10:27:20,Friday,10,291.8,PLA Basic,4.39,4.09,20.19,24.28,43.18,77.9,18.9,False,False,False,1.02,0.32,33.6,11.0,0.072,1011.0,2000,87.0,76.0,49.0,0.5,11.0,20.0,0.015,True
2025-05-02 12:29:11,2025-05-02,12:29:11,Friday,12,145.4,PETG-CF,2.93,3.49,13.58,17.07,28.84,69.0,11.77,False,True,False,1.06,0.29,28.7,11.0,0.082,1176.0,2000,100.0,61.0,47.0,0.5,11.0,15.0,0.02,True
2025-05-02 14:16:21,2025-05-02,14:16:21,Friday,14,214.5,PLA Matte,3.64,3.22,14.47,17.69,29.76,68.3,12.08,False,False,False,1.05,0.3,30.0,10.0,0.096,1128.0,2000,92.0,63.0,40.0,0.5,11.0,17.0,0.017,True
2025-05-02 14:51:21,2025-05-02,14:51:21,Friday,14,148.3,ASA,2.42,2.97,9.54,12.51,55.13,340.8,42.62,True,False,True,1.03,0.32,30.2,10.0,0.087,1011.0,2000,98.0,77.0,46.0,0.5,11.0,19.0,0.016,True
2025-05-02 15:15:27,2025-05-02,15:15:27,Friday,15,30.7,PC,0.67,0.61,2.56,3.17,7.99,151.9,4.82,False,False,True,1.01,0.31,28.5,10.0,0.092,1130.0,2000,98.0,74.0,41.0,0.5,10.0,16.0,0.022,True
2025-05-03 07:15:08,2025-05-03,07:15:08,Saturday,7,27.8,Nylon,0.48,1.11,1.86,2.98,5.59,87.7,2.61,False,False,False,1.06,0.29,32.7,9.0,0.097,1074.0,2000,104.0,78.0,27.0,0.5,12.0,19.0,0.017,True
2025-05-03 10:02:26,2025-05-03,10:02:26,Saturday,10,272.9,PLA Silk,7.98,8.19,29.24,37.43,68.72,83.6,31.29,False,False,False,1.01,0.32,30.4,9.0,0.081,1049.0,2000,100.0,79.0,43.0,0.5,13.0,19.0,0.02,False
2025-05-03 10:45:25,2025-05-03,10:45:25,Saturday,10,130.6,PA12-CF,2.87,3.13,11.89,15.03,26.55,76.7,11.52,False,True,False,1.01,0.29,31.0,9.0,0.083,957.0,2000,83.0,75.0,45.0,0.5,12.0,16.0,0.022,True
2025-05-03 14:41:10,2025-05-03,14:41:10,Saturday,14,517.1,PLA Matte,11.98,7.76,39.74,47.5,98.18,106.7,50.68,True,False,False,1.04,0.29,27.3,9.0,0.072,974.0,2000,104.0,72.0,46.0,0.5,11.0,17.0,0.023,True
2025-05-04 05:35:19,2025-05-04,05:35:19,Sunday,5,201.1,ASA,3.22,4.02,16.45,20.47,34.21,67.1,13.74,False,False,False,1.04,0.31,34.6,12.0,0.071,1128.0,2000,88.0,62.0,45.0,0.5,14.0,17.0,0.016,True
2025-05-04 07:27:57,2025-05-04,07:27:57,Sunday,7,13.4,PLA Silk,0.23,0.4,0.75,1.15,2.08,80.7,0.93,False,False,False,1.02,0.29,25.4,9.0,0.084,1183.0,2000,95.0,73.0,28.0,0.5,13.0,16.0,0.017,True
2025-05-04 11:21:33,2025-05-04,11:21:33,Sunday,11,45.8,ABS,1.93,0.73,5.72,6.45,26.81,315.4,20.35,True,False,False,1.02,0.31,25.6,8.0,0.094,1011.0,2000,114.0,79.0,31.0,0.5,12.0,18.0,0.02,False
2025-05-04 15:42:58,2025-05-04,15:42:58,Sunday,15,21.8,Glass Fiber,0.41,0.55,2.07,2.61,4.54,73.8,1.93,False,True,False,1.05,0.3,32.7,11.0,0.091,1077.0,2000,96.0,68.0,42.0,0.5,14.0,18.0,0.019,True
2025-05-05 08:53:08,2025-05-05,08:53:08,Monday,8,263.5,PLA Basic,6.33,3.69,25.68,29.36,50.04,70.4,20.67,False,False,False,1.08,0.29,28.9,11.0,0.071,986.0,2000,101.0,66.0,33.0,0.5,12.0,17.0,0.024,True
2025-05-05 10:59:27,2025-05-05,10:59:27,Monday,10,183.9,Glass Fiber,3.5,4.6,16.6,21.19,36.53,72.4,15.34,False,True,False,1.02,0.3,30.3,11.0,0.073,1059.0,2000,81.0,70.0,40.0,0.5,13.0,20.0,0.019,True
2025-05-06 09:06:03,2025-05-06,09:06:03,Tuesday,9,141.2,PLA Silk,4.5,4.24,14.67,18.9,32.76,73.3,13.86,False,False,False,1.02,0.29,23.1,10.0,0.088,1131.0,2000,109.0,63.0,31.0,0.5,12.0,16.0,0.02,False
2025-05-06 15:26:18,2025-05-06,15:26:18,Tuesday,15,342.5,PLA Wood,5.99,6.85,21.82,28.67,67.59,135.8,38.93,False,False,True,1.07,0.31,24.0,11.0,0.074,1193.0,2000,82.0,69.0,37.0,0.5,12.0,15.0,0.018,True
2025-05-06 16:00:25,2025-05-06,16:00:25,Tuesday,16,56.8,PETG Basic,1.28,0.8,5.72,6.51,11.98,83.9,5.46,False,False,False,1.04,0.31,31.5,11.0,0.081,1200.0,2000,119.0,79.0,39.0,0.5,14.0,16.0,0.023,True
2025-05-06 16:39:19,2025-05-06,16:39:19,Tuesday,16,162.9,PLA Basic,6.72,2.28,28.62,30.9,50.49,63.4,19.59,False,False,False,1.03,0.3,33.0,10.0,0.073,1153.0,2000,81.0,62.0,29.0,0.5,10.0,18.0,0.02,False
2025-05-07 10:47:40,2025-05-07,10:47:40,Wednesday,10,24.5,PC Carbon,0.37,0.73,1.54,2.28,19.0,735.1,16.73,True,True,False,1.01,0.3,34.3,8.0,0.095,1043.0,2000,107.0,61.0,44.0,0.5,14.0,16.0,0.015,True
2025-05-07 15:46:29,2025-05-07,15:46:29,Wednesday,15,10.2,TPU 95A,0.3,0.31,1.03,1.33,2.43,82.2,1.1,False,False,False,1.06,0.29,23.3,11.0,0.084,948.0,2000,113.0,73.0,36.0,0.5,14.0,16.0,0.02,False
